3 3
points[25][25] = 
0.666667 0.000000 0.866025
0.643951 0.172546 0.866025
0.577350 0.333333 0.866025
0.471405 0.471405 0.866025
0.333333 0.577350 0.866025
0.172546 0.643951 0.866025
0.000000 0.666667 0.866025
-0.172546 0.643951 0.866025
-0.333333 0.577350 0.866025
-0.471405 0.471405 0.866025
-0.577350 0.333333 0.866025
-0.643951 0.172546 0.866025
-0.666667 0.000000 0.866025
-0.643951 -0.172546 0.866025
-0.577350 -0.333333 0.866025
-0.471405 -0.471405 0.866025
-0.333333 -0.577350 0.866025
-0.172546 -0.643951 0.866025
0.000000 -0.666667 0.866025
0.172546 -0.643951 0.866025
0.333333 -0.577350 0.866025
0.471405 -0.471405 0.866025
0.577350 -0.333333 0.866025
0.643951 -0.172546 0.866025
0.666667 0.000000 0.866025
0.666667 0.000000 0.923880
0.643951 0.172546 0.923880
0.577350 0.333333 0.923880
0.471405 0.471405 0.923880
0.333333 0.577350 0.923880
0.172546 0.643951 0.923880
0.000000 0.666667 0.923880
-0.172546 0.643951 0.923880
-0.333333 0.577350 0.923880
-0.471405 0.471405 0.923880
-0.577350 0.333333 0.923880
-0.643951 0.172546 0.923880
-0.666667 0.000000 0.923880
-0.643951 -0.172546 0.923880
-0.577350 -0.333333 0.923880
-0.471405 -0.471405 0.923880
-0.333333 -0.577350 0.923880
-0.172546 -0.643951 0.923880
0.000000 -0.666667 0.923880
0.172546 -0.643951 0.923880
0.333333 -0.577350 0.923880
0.471405 -0.471405 0.923880
0.577350 -0.333333 0.923880
0.643951 -0.172546 0.923880
0.666667 0.000000 0.923880
0.708333 0.000000 0.965926
0.684197 0.183330 0.965926
0.613435 0.354167 0.965926
0.500867 0.500867 0.965926
0.354167 0.613435 0.965926
0.183330 0.684197 0.965926
0.000000 0.708333 0.965926
-0.183330 0.684197 0.965926
-0.354167 0.613435 0.965926
-0.500867 0.500867 0.965926
-0.613435 0.354167 0.965926
-0.684197 0.183330 0.965926
-0.708333 0.000000 0.965926
-0.684197 -0.183330 0.965926
-0.613435 -0.354167 0.965926
-0.500867 -0.500867 0.965926
-0.354167 -0.613435 0.965926
-0.183330 -0.684197 0.965926
0.000000 -0.708333 0.965926
0.183330 -0.684197 0.965926
0.354167 -0.613435 0.965926
0.500867 -0.500867 0.965926
0.613435 -0.354167 0.965926
0.684197 -0.183330 0.965926
0.708333 0.000000 0.965926
0.708333 0.000000 0.991445
0.684197 0.183330 0.991445
0.613435 0.354167 0.991445
0.500867 0.500867 0.991445
0.354167 0.613435 0.991445
0.183330 0.684197 0.991445
0.000000 0.708333 0.991445
-0.183330 0.684197 0.991445
-0.354167 0.613435 0.991445
-0.500867 0.500867 0.991445
-0.613435 0.354167 0.991445
-0.684197 0.183330 0.991445
-0.708333 0.000000 0.991445
-0.684197 -0.183330 0.991445
-0.613435 -0.354167 0.991445
-0.500867 -0.500867 0.991445
-0.354167 -0.613435 0.991445
-0.183330 -0.684197 0.991445
0.000000 -0.708333 0.991445
0.183330 -0.684197 0.991445
0.354167 -0.613435 0.991445
0.500867 -0.500867 0.991445
0.613435 -0.354167 0.991445
0.684197 -0.183330 0.991445
0.708333 0.000000 0.991445
0.750000 0.000000 1.000000
0.724444 0.194114 1.000000
0.649519 0.375000 1.000000
0.530330 0.530330 1.000000
0.375000 0.649519 1.000000
0.194114 0.724444 1.000000
0.000000 0.750000 1.000000
-0.194114 0.724444 1.000000
-0.375000 0.649519 1.000000
-0.530330 0.530330 1.000000
-0.649519 0.375000 1.000000
-0.724444 0.194114 1.000000
-0.750000 0.000000 1.000000
-0.724444 -0.194114 1.000000
-0.649519 -0.375000 1.000000
-0.530330 -0.530330 1.000000
-0.375000 -0.649519 1.000000
