# A data file made by Paul
3 3
points[20][20] = 
-0.493844 0.353553 0.336249
-0.493844 0.293893 0.279508
-0.493844 0.226995 0.215885
-0.493844 0.154508 0.146946
-0.493844 0.078217 0.074389
-0.493844 0.000000 0.000000
-0.493844 -0.078217 -0.074389
-0.493844 -0.154509 -0.146946
-0.493844 -0.226995 -0.215885
-0.493844 -0.293893 -0.279509
-0.493844 -0.353553 -0.336249
-0.493844 -0.404509 -0.384710
-0.493844 -0.445503 -0.423699
-0.493844 -0.475528 -0.452254
-0.493844 -0.493844 -0.469674

